Time,Var1,Var2
4.2600,16.8290,20.3313
4.2700,16.7774,20.3452
4.2800,16.7260,20.3589
4.2900,16.6747,20.3725
4.3000,16.6235,20.3861
4.3100,16.5724,20.3995
4.3200,16.5214,20.4129
4.3300,16.4705,20.4262
4.3400,16.4197,20.4393
4.3500,16.3691,20.4524
4.3600,16.3186,20.4654
4.3700,16.2681,20.4783
4.3800,16.2178,20.4911
4.3900,16.1677,20.5038
4.4000,16.1176,20.5164
4.4100,16.0676,20.5289
4.4200,16.0178,20.5413
4.4300,15.9680,20.5536
4.4400,15.9184,20.5658
4.4500,15.8689,20.5779
4.4600,15.8195,20.5900
4.4700,15.7703,20.6019
4.4800,15.7211,20.6137
4.4900,15.6721,20.6255
4.5000,15.6232,20.6371
4.5100,15.5744,20.6487
4.5200,15.5257,20.6601
4.5300,15.4771,20.6715
4.5400,15.4287,20.6828
4.5500,15.3803,20.6940
4.5600,15.3321,20.7051
4.5700,15.2840,20.7161
4.5800,15.2360,20.7270
4.5900,15.1882,20.7378
4.6000,15.1404,20.7485
4.6100,15.0928,20.7591
4.6200,15.0453,20.7696
4.6300,14.9979,20.7800
4.6400,14.9506,20.7904
4.6500,14.9035,20.8006
4.6600,14.8564,20.8108
4.6700,14.8095,20.8208
4.6800,14.7627,20.8308
4.6900,14.7160,20.8407
4.7000,14.6695,20.8505
4.7100,14.6230,20.8602
4.7200,14.5767,20.8698
4.7300,14.5305,20.8793
4.7400,14.4844,20.8887
4.7500,14.4384,20.8980
4.7600,14.3926,20.9072
4.7700,14.3468,20.9164
4.7800,14.3012,20.9254
4.7900,14.2557,20.9344
4.8000,14.2104,20.9432
4.8100,14.1651,20.9520
4.8200,14.1200,20.9607
4.8300,14.0750,20.9693
4.8400,14.0301,20.9778
4.8500,13.9853,20.9862
4.8600,13.9407,20.9945
4.8700,13.8961,21.0027
4.8800,13.8517,21.0109
4.8900,13.8074,21.0189
4.9000,13.7632,21.0269
4.9100,13.7192,21.0347
4.9200,13.6752,21.0425
4.9300,13.6314,21.0502
4.9400,13.5877,21.0578
4.9500,13.5441,21.0653
4.9600,13.5007,21.0727
4.9700,13.4574,21.0801
4.9800,13.4141,21.0873
4.9900,13.3710,21.0945
5.0000,13.3281,21.1015
5.0100,13.2852,21.1085
5.0200,13.2424,21.1154
5.0300,13.1998,21.1222
5.0400,13.1573,21.1289
5.0500,13.1149,21.1356
5.0600,13.0727,21.1421
5.0700,13.0305,21.1485
5.0800,12.9885,21.1549
5.0900,12.9466,21.1612
5.1000,12.9048,21.1674
5.1100,12.8631,21.1735
5.1200,12.8216,21.1795
5.1300,12.7802,21.1854
5.1400,12.7389,21.1913
5.1500,12.6977,21.1970
5.1600,12.6566,21.2027
5.1700,12.6156,21.2083
5.1800,12.5748,21.2138
5.1900,12.5341,21.2192
5.2000,12.4935,21.2246
5.2100,12.4530,21.2298
5.2200,12.4126,21.2350
5.2300,12.3724,21.2401
5.2400,12.3323,21.2451
5.2500,12.2923,21.2500
5.2600,12.2524,21.2548
5.2700,12.2126,21.2596
5.2800,12.1729,21.2642
5.2900,12.1334,21.2688
5.3000,12.0940,21.2733
5.3100,12.0547,21.2777
5.3200,12.0155,21.2820
5.3300,11.9764,21.2863
5.3400,11.9375,21.2904
5.3500,11.8986,21.2945
5.3600,11.8599,21.2985
5.3700,11.8213,21.3025
5.3800,11.7828,21.3063
5.3900,11.7445,21.3101
5.4000,11.7062,21.3137
5.4100,11.6681,21.3173
5.4200,11.6301,21.3208
5.4300,11.5921,21.3243
5.4400,11.5544,21.3276
5.4500,11.5167,21.3309
5.4600,11.4791,21.3341
5.4700,11.4417,21.3372
5.4800,11.4044,21.3403
5.4900,11.3671,21.3432
5.5000,11.3300,21.3461
5.5100,11.2931,21.3489
5.5200,11.2562,21.3516
5.5300,11.2194,21.3543
5.5400,11.1828,21.3568
5.5500,11.1463,21.3593
5.5600,11.1099,21.3617
5.5700,11.0736,21.3640
5.5800,11.0374,21.3663
5.5900,11.0013,21.3685
5.6000,10.9654,21.3706
5.6100,10.9295,21.3726
5.6200,10.8938,21.3746
5.6300,10.8582,21.3764
5.6400,10.8226,21.3782
5.6500,10.7873,21.3799
5.6600,10.7520,21.3816
5.6700,10.7168,21.3832
5.6800,10.6817,21.3847
5.6900,10.6468,21.3861
5.7000,10.6120,21.3874
5.7100,10.5772,21.3887
5.7200,10.5426,21.3899
5.7300,10.5081,21.3910
5.7400,10.4737,21.3921
5.7500,10.4394,21.3930
