iteration,error,currentInitImpulse
187,266130.401763916,885.2896025812483 193.89718245939054 -1.2516587444744394
188,177622.00212097168,888.9295324884749 194.61679458097257 -1.2516282268963144
189,210443.89042663574,893.1479993830062 195.87995528653897 -1.2521699139080331
190,184595.91348266602,896.8627889093734 196.92414473966397 -1.2525361248455331
191,228824.2087249756,901.4591244562484 198.25806807950772 -1.2525590130291269
192,278524.60551452637,907.1579914362289 199.42665481046475 -1.2615769573650644
193,263941.96084594727,912.4044353205063 201.2055473275546 -1.2616227337322519
194,238496.86659240723,917.2768633966782 202.23905562833585 -1.2634919353924081
195,228811.22184753418,921.9838556818345 203.0878715463046 -1.2688477703533456
196,211149.73721313477,926.2132326105454 204.3703651376132 -1.2693436809978769
197,176737.73300170898,929.8182961847642 205.1607017464999 -1.2697022625408456
198,112035.58811950684,932.026257403026 205.999225611246 -1.2695878216228769
199,174333.0557861328,935.5740471124986 206.81367110685147 -1.2696335979900644
200,187426.05517578125,939.3518401789049 207.8491020150546 -1.2698548504314706
201,204761.15156555176,943.4874213312487 208.9440727181796 -1.2699158855877206
202,304718.83906555176,949.6996473810534 210.32152175382413 -1.2687104412517831
203,210820.98107910156,954.0077444025378 211.22997664884366 -1.2741883465252206
204,213004.6335144043,958.3335492487292 212.26565932706632 -1.2742264934978769
205,212575.6032562256,962.5696171564441 213.651325220621 -1.2744401165447519
206,325651.9784851074,969.172025701366 215.28168105558194 -1.2745850750408456
207,339873.11323547363,976.2563449518543 216.14447402433194 -1.2802842327556894
208,202832.28018188477,980.2923625055653 217.492633814371 -1.2803834148845956
209,182767.63345336914,983.9716524591786 218.52286910489835 -1.2804444500408456
210,189357.2377166748,987.8139215387685 219.457477564371 -1.2805283733806894
211,297001.94396972656,993.885102971874 220.72997664884366 -1.2805741497478769
212,303446.2435913086,1000.1407784235341 221.80068587735929 -1.2832749554119394
213,233803.90939331055,1004.8766098200185 222.99120711759366 -1.2833283611736581
214,176979.5408630371,1008.4523383722646 223.93220138028897 -1.2834046551189706
215,232823.9736480713,1013.2165587457998 224.9083824105624 -1.2833359905681894
216,167440.33702087402,1016.6034903009756 225.78202437833585 -1.2839539715252206
217,194387.27603149414,1020.4637266046866 227.10898208097257 -1.2841752239666269
218,236274.34371948242,1025.2827718073233 228.1676063485507 -1.2842438885174081
219,144807.03944396973,1028.1792019586906 229.06598281339444 -1.2844651409588144
220,283892.832611084,1034.0347461847648 230.0544471688632 -1.2845032879314706
221,206194.71937561035,1038.038338811718 231.85775374845304 -1.2846711346111581
222,306063.48597717285,1044.3515551569328 232.92264937833585 -1.2847397991619394
223,195504.18342590332,1048.2852320124016 234.03419112638272 -1.2847550579510019
224,275169.72549438477,1053.915823540722 235.18899154142179 -1.2847932049236581
225,259283.1764678955,1059.1684624933587 236.5065269418124 -1.2847321697674081
226,199065.69554138184,1063.226170415722 237.4100151009921 -1.2849000164470956
227,209158.17626953125,1067.50841141914 238.27721023038663 -1.2848466106853769
228,262896.01739501953,1072.9000350519525 239.32839583829679 -1.2844575115642831
229,308240.7389984131,1079.343302056347 240.0318641610507 -1.2986710735760019
230,129529.70011901855,1081.8808760065424 241.06497573331632 -1.2990754314861581
231,209703.28576660156,1086.1084600275385 242.22319411710538 -1.3283723064861581
232,11981.133117675781,1085.6413647882807 243.13764571622647 -1.3290055462322519
233,314875.46405029297,1092.1712711969722 244.08156966642179 -1.3289597698650644
234,394923.22721862793,1100.4613475885737 244.83033370450772 -1.3291962810955331
235,170885.57968139648,1103.9198276056636 245.71430587247647 -1.3291657635174081
236,356751.0718536377,1111.3707850397457 246.5547676034335 -1.3297379681072519
237,388843.943069458,1119.4532503473629 247.64199447110929 -1.3404191204510019
238,233543.92971801758,1124.203150347363 248.74953078702725 -1.3404954143963144
239,253944.4298400879,1129.4000947199215 249.8132362313632 -1.3412812420330331
240,148153.71545410156,1132.431954253613 250.43360518888272 -1.3414338299236581
241,284914.9267425537,1138.302833562695 251.45165633634366 -1.3416016766033456
242,203580.16177368164,1142.4958030207029 252.18997573331632 -1.3434022137127206
243,310415.65257263184,1148.7820036798826 253.77872847989835 -1.3520005413494394
244,155054.17083740234,1151.9113668756834 254.61966323331632 -1.3570664593181894
245,150534.55317687988,1154.844540191113 255.89128493741788 -1.3570130535564706
246,172237.99137878418,1158.353473394238 256.6809577889804 -1.3570893475017831
247,247811.86785888672,1163.3380840875975 258.0976066537265 -1.3571580120525644
248,305586.7666320801,1169.6966266657225 258.9244193978671 -1.6532853313885019
249,429982.5184326172,1178.7769175958983 259.5045738168124 -1.6532471844158456
250,269349.09799194336,1184.2725298761718 260.70604323819913 -1.6532700725994394
251,255199.46293640137,1189.4481882379882 261.9794425912265 -1.6574662395916269
252,398677.6082611084,1197.757841655957 262.995807642496 -1.6576340862713144
253,269108.39640808105,1203.3753716608398 263.645092005289 -1.6578858562908456
254,311039.8869628906,1209.8825882501953 264.3315772958163 -1.6585725017986581
255,304887.67085266113,1216.247402190625 265.0664863534335 -1.6598542400799081
256,155380.3190765381,1219.2437621515626 266.5157508798007 -1.6598771282635019
257,174771.09956359863,1222.64840916084 267.9950523324374 -1.7713425823650644
258,200959.22821044922,1226.7285475031251 268.97997664884366 -1.7716019817791269
259,224222.04110717773,1231.1989141168947 270.4336051888827 -1.7731278606853769
260,232804.1884765625,1236.0131833185549 271.19240188077725 -1.7691834637127206
261,269889.1996002197,1241.6743076837893 271.7263526864413 -1.7691834637127206
262,163239.0023803711,1244.7804927790041 273.4293479867343 -1.7693589397869394
263,256186.64743041992,1250.0540362726565 274.369457239664 -1.7694657513103769
264,278132.64346313477,1255.6359827814456 276.01412581876554 -1.7695267864666269
265,237675.36056518555,1260.5340761408206 276.8619651742343 -1.7701752850017831
266,176829.54859924316,1264.1819635065433 277.4798622079257 -1.7702363201580331
267,218319.21549987793,1268.5056931574222 279.02048110441007 -1.7703965374431894
268,208487.9118499756,1272.6874474054691 280.2651939339999 -1.7705414959392831
269,177822.91984558105,1276.4152526789067 280.6257362313632 -1.7704957195720956
270,323290.581451416,1282.970259795606 282.24835586026944 -1.7708390423260019
