iteration,error,currentInitImpulse
98,6805194.280577421,74978.7962598506 86.72033995401664 -74.4997143594658
99,6842923.240149736,78587.96216573722 95.3923739494183 -76.70895740318944
100,6880821.05452764,82204.87851276518 104.93161134436014 -78.79366960866251
101,6918822.634334207,85829.67639971858 115.42477247879614 -80.69401791935434
102,6956822.650422096,89462.4480352421 126.96724972667576 -82.75994341207712
103,6994746.419825792,93103.2659089558 139.66397469934333 -84.65158402525147
104,7032484.147872806,96752.17018142073 153.63037216927765 -86.37101600333669
105,7069958.076088667,100409.17631147773 168.99340938620543 -87.95884665390174
106,7107062.7946231365,104074.27671089406 185.89275032482598 -89.4514477459476
107,7143690.116209269,107747.4337317829 204.48202535730857 -90.91456047485241
108,7179739.999894023,111428.5851621077 224.93022789303944 -92.27870627037987
109,7215072.585530877,115117.63709510151 247.4232506823434 -93.5694549736002
110,7249583.1163829565,118814.47122101935 272.1655757505777 -94.770935793671
111,7283132.034124494,122518.93909588626 299.3821333256355 -95.87702449818237
112,7315587.417697787,126230.86323729926 329.320346658199 -96.93458597594113
113,7346786.339054465,129950.03475781152 362.2523813240189 -97.95632128526283
114,7376577.740107298,133676.20910251804 398.4776194564208 -98.93699484420017
115,7404785.321540952,137409.1120448526 438.32538140206293 -99.87373990246562
116,7431233.952736974,141148.43053977203 482.1579195422692 -100.76289236443175
117,7455724.674697518,144893.81248310622 530.3737114964962 -101.67547756129588
118,7478036.824283004,148644.86673948515 583.4110826461458 -102.55122356580937
119,7497967.995672703,152401.1571366579 641.7521909107604 -103.37857628839451
120,7515253.992405176,156162.20059958342 705.9274100018365 -104.15448066954517
121,7529651.6508286,159927.4616073077 776.5201510020202 -105.5333826162625
122,7540882.832640648,163696.35569334382 854.1721661022221 -106.88392073238712
123,7548661.78653276,167468.24079624622 939.5893827124444 -108.11812248406432
124,7552664.502927244,171242.41030017709 1033.5483209836889 -109.28159665028649
125,7552571.364332736,175018.09649209716 1136.9031530820578 -110.78945364547106
126,7548029.079876244,178794.46053179397 1250.5934683902635 -112.2052715020215
127,7538666.83036828,182570.58918441206 1375.65281522929 -113.60373502807631
128,7524087.878754973,186345.48650083362 1513.2180967522188 -114.93948626093702
129,7503893.104931593,190118.07318811963 1664.5399064274407 -116.19978908612428
130,7086423.589224994,193689.08521017985 1830.9938970701846 -117.38522828255707
131,6707261.603671432,197077.91888361124 2014.093286777203 -118.55581921632658
132,6362654.194360912,200301.96261184957 2215.502615454923 -119.78067633661536
133,6049201.633497596,203376.8051621214 2437.0528770004157 -120.90168675549232
134,5760058.486931026,206316.41798793478 2653.067449737092 -121.93282093514235
135,5495542.721468687,209133.32301286457 2860.990152419592 -122.95179531257018
136,5253540.106327534,211838.73804429732 3061.566620612656 -123.89634971346847
137,5031695.302819073,214442.70997392817 3255.463340219184 -125.03060104676209
138,4827910.643226922,216954.23543902786 3443.318197066592 -126.09887494738555
139,4640264.780506015,219381.3666856442 3625.7149943744143 -127.11542616007405
140,4467038.180595994,221731.30664806804 3803.112616181067 -128.0484836834338
141,4306661.147385776,224010.49463503822 3975.939424370978 -128.9227001944884
142,4157741.5936778784,226224.6850986811 4144.607099830258 -129.72749597826598
143,4019019.125535786,228379.01478310148 4309.445113659771 -130.4807927161393
144,3889358.3044569492,230478.06653632643 4470.78869501946 -131.1923182749908
145,3767749.4885849357,232525.92402666618 4628.914905602104 -131.85828254498028
146,3653260.1400072575,234526.2208076361 4784.029795083693 -132.4860270616613
147,3545096.3777815104,236482.18788968056 4936.405534009491 -133.0726386840103
148,3442515.2790609,238396.69218555035 5086.238055922451 -133.65107908210575
149,3344854.9861463904,240272.27469051068 5233.667496184936 -134.2184623674134
150,3251554.8194088936,242111.1810033383 5378.854046995847 -134.75711740950712
151,3162079.601935327,243915.39217360987 5521.953708355857 -135.3227839446881
152,3075967.57807225,245686.65143273686 5663.056639841635 -135.904946398909
153,2992825.2640770674,247426.48813350144 5802.272514629365 -136.4768737845629
154,2912285.6445349455,249136.23902594546 5939.734482026879 -137.0125414396145
155,2834034.4558695555,250817.0674370961 6075.505590312255 -137.51519117241455
156,2757788.682373941,252469.98183636882 6209.627386752714 -137.9844154397264
157,2683316.499887049,254095.85289517272 6342.163496855787 -138.48560576683593
158,2610409.613504648,255695.4256345245 6473.1688755930445 -138.95636484314684
159,2538892.7850273848,257269.334021096 6602.706175756998 -139.50774902799665
160,2468609.8745735884,258818.11313017248 6730.800605690648 -140.02027952372316
161,2399438.95806247,260342.2093190382 6857.485248569674 -140.56522681230712
162,2331275.137510538,261841.99061024046 6982.7841142291645 -141.18667027410794
163,2264034.7818870544,263317.7557686814 7106.712538160768 -141.75920278571735
164,2197649.8070188165,264769.74165844644 7229.274045496413 -142.29953985192637
165,2132077.5091714263,266198.1329588376 7350.500963157399 -142.80103737678508
166,2067276.4522112608,267603.06754357344 7470.384008058089 -143.27366497973307
167,2003231.0640187263,268984.6429551466 7588.934114692413 -143.73636116976135
168,1939930.2833523154,270342.922848306 7706.157148804176 -144.20889884410693
169,1877375.799445331,271677.9421607664 7822.059569738359 -144.6576809281219
170,1815569.8107218742,272989.7119700074 7936.627266896541 -145.10020027913208
171,1754536.2995574474,274278.2241792463 8049.8634366372835 -145.52149438349156
172,1694303.4039754272,275543.45556536794 8161.775585723576 -145.92059964095594
173,1634886.1526679993,276785.371621889 8272.349886972273 -146.3026434203495
174,1576328.8296730518,278003.93060749216 8381.594585891044 -146.7096881480885
